Category Name,Name,Gross Sales,Sold,year
Rice,C3. Con Chien Duong Chau,1674.4,112.0,2024
Appetizer,A1. Cha Gio,3163.05,639.0,2024
Appetizer,A2. Goi Cuon,3004.75,505.0,2024
Appetizer,A6. Grilled Pork Banh Mi,1725.15,217.0,2024
Appetizer,A4.  Banh Mi Bo Kho,447.75,45.0,2024
Appetizer,A3. Goi Cuon Chay,381.15,77.0,2024
Appetizer,Side Of Pho Broth,87.5,25.0,2024
Noodle Soup,K3. Bun Bo Hue,5713.0,350.0,2024
Noodle Soup,K1. Hu Tieu Bo Kho,2898.5,179.0,2024
Bun/ Vermicelli,B1. Bun Tom Thit Nuong Cha Gio,2928.0,183.0,2024
Bun/ Vermicelli,B2. Bun Thit Nuong,1336.5,99.0,2024
Bun/ Vermicelli,B6. Bun Ga Nuong,850.5,63.0,2024
Bun/ Vermicelli,B5. Bun Chay,657.25,55.0,2024
Bun/ Vermicelli,B3. Bun Tom Nuong,391.5,29.0,2024
Bun/ Vermicelli,B4. Bun Cha Gio,162.0,12.0,2024
Bun/ Vermicelli,S3. Hu Tieu Xao,2134.5,150.0,2024
Stir Fry,S2. Rao Cai Xao,1034.3,74.0,2024
Stir Fry,S1. Ga Xao Xa Ot,809.1,58.0,2024
